method_name,collection,contrast,Cluster,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
limma_trend_GeoDiff,Reactome,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,RIBOSOME_ASSOCIATED_QUALITY_CONTROL,RIBOSOME_ASSOCIATED_QUALITY_CONTROL,143,0.7535854373995037,2.604918279076685,1.8163580659594597e-23,2.8752948184138245e-20,2.621291482558336e-20,2313,"tags=51%, list=12%, signal=45%",RPL7A/PSMD6/RPL29/RPL5/RPL34/RPL21/RPS9/RPL17/RPL6/RPL32/RPL15/RPL18/RPL41/RPS5/RPL35/RPL35A/RPS2/RPS28/RPS15/RPSA/RPL36/RPLP2/RPL27A/RPS3A/RPS19/RPL7/RPL13A/RPS6/RPL10A/RPS17/RPS4X/RPL18A/RPS8/RPL22/RPL9/RPL4/RPLP1/RPS15A/RPL37A/UBA52/UBB/RPL38/RPS7/RPLP0/RPS14/RPS10/FAU/RPS11/RPL24/RPS12/RPL11/RPL26/RPS25/RPL31/RPS26/RPS13/RPL39/PSMC4/RPS16/RPL12/RPS18/RPL30/RPS27/NEMF/RPS3/RPL10L/RPS24/RPL27/RPL37/RPL13/RPS20/RPL14/UBE2D1
limma_trend_GeoDiff,Reactome,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,111,0.7943066533582018,2.6538572990330715,7.364895225954113e-23,5.82931457134268e-20,5.3143533446226784e-20,2389,"tags=75%, list=13%, signal=66%",SSR4/RPL7A/SRPRA/RPL29/RPL5/RPL34/RPL21/RPS9/RPL17/RPL6/RPL32/RPL15/RPL18/RPL41/RPS5/RPL35/RPL35A/RPS2/RPS28/RPS15/RPSA/SEC61B/SEC11C/RPL36/RPLP2/RPL27A/RPS3A/RPS19/RPL7/RPL13A/RPS6/SPCS1/RPL10A/RPS17/RPS4X/RPL18A/RPS8/RPL22/RPL9/RPL4/RPLP1/SSR3/RPS15A/RPL37A/UBA52/RPL38/RPS7/RPLP0/RPS14/SRPRB/RPS10/FAU/RPS11/RPL24/RPS12/RPL11/RPL26/RPS25/SEC61A1/SSR2/RPL31/RPS26/RPS13/DDOST/SEC61G/RPL39/RPS16/RPL12/RPS18/RPL30/RPS27/RPS3/RPL10L/RPS24/RPL27/SEC61A2/SPCS3/RPL37/TRAM1/RPL13/RPS20/RPL14/SSR1
limma_trend_GeoDiff,Reactome,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,TRANSLATION,TRANSLATION,348,0.6058807028875773,2.287932893829621,2.3366956552025034e-22,1.2329964073951876e-19,1.124073594134257e-19,3656,"tags=41%, list=20%, signal=33%",SSR4/RPL7A/SRPRA/PSMD6/EIF4EBP1/RPL29/RPL5/RPL34/RPL21/RPS9/RPL17/RPL6/RPL32/RPL15/RPL18/RPL41/RPS5/RPL35/RPL35A/RPS2/RPS28/RPS15/RPSA/FARS2/SEC61B/SEC11C/RPL36/RPLP2/EIF4B/RPL27A/RPS3A/EIF3L/RPS19/RPL7/RPL13A/RPS6/SPCS1/EEF1B2/RPL10A/RPS17/RPS4X/RPL18A/RPS8/RPL22/RPL9/RPL4/RPLP1/SSR3/RPS15A/RPL37A/UBA52/UBB/RPL38/RPS7/RPLP0/EIF3G/RPS14/SRPRB/RPS10/FAU/RPS11/RPL24/RPS12/EEF1G/EEF1D/RPL11/RPL26/RPS25/SEC61A1/SSR2/RPL31/RPS26/RPS13/DDOST/SEC61G/RPL39/PSMC4/MRPL21/RPS16/RPL12/RPS18/MRPS24/RPL30/YARS1/EIF3A/RPS27/NEMF/RPS3/RPL10L/RPS24/EIF3F/RPL27/SEC61A2/TARS1/SPCS3/RPL37/TRAM1/RPL13/EIF3J/RPS20/RPL14/UBE2D1/MARS1/MRPL46/SSR1/EIF3C/EIF3E/MRPL40/MTIF2/RPS23/SARS1/MRPL53/MRPL36/SRP72/EIF4H/EIF3K/RPL28/EIF2S3/MRPS2/RPS29/AURKAIP1/MALSU1/SRP68/MRPL1/PSMB7/RPS21/EEF1A2/MRPS14/RPL8/RPL36A/RARS2/MTRFR/RPL23A/MRPL24/LARS1/MRPL55/MRPL54/RPL19/SPCS2/ZNF598/EIF3H
limma_trend_GeoDiff,Reactome,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,EUKARYOTIC_TRANSLATION_INITIATION,EUKARYOTIC_TRANSLATION_INITIATION,119,0.7694250448523279,2.6041769120070186,2.0848367720133705e-21,8.250741525242913e-19,7.521871616921923e-19,2492,"tags=66%, list=13%, signal=57%",RPL7A/EIF4EBP1/RPL29/RPL5/RPL34/RPL21/RPS9/RPL17/RPL6/RPL32/RPL15/RPL18/RPL41/RPS5/RPL35/RPL35A/RPS2/RPS28/RPS15/RPSA/RPL36/RPLP2/EIF4B/RPL27A/RPS3A/EIF3L/RPS19/RPL7/RPL13A/RPS6/RPL10A/RPS17/RPS4X/RPL18A/RPS8/RPL22/RPL9/RPL4/RPLP1/RPS15A/RPL37A/UBA52/RPL38/RPS7/RPLP0/EIF3G/RPS14/RPS10/FAU/RPS11/RPL24/RPS12/RPL11/RPL26/RPS25/RPL31/RPS26/RPS13/RPL39/RPS16/RPL12/RPS18/RPL30/EIF3A/RPS27/RPS3/RPL10L/RPS24/EIF3F/RPL27/RPL37/RPL13/EIF3J/RPS20/RPL14/EIF3C/EIF3E/RPS23
limma_trend_GeoDiff,Reactome,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,157,0.7229300460160825,2.5239583278153055,6.046433988722072e-21,1.914301000829408e-18,1.7451917891658866e-18,2312,"tags=46%, list=12%, signal=41%",EIF4A3/RPL7A/PSMD6/RPL29/RPL5/RPL34/RPL21/RPS9/RPL17/RPL6/RPL32/RPL15/RPL18/RPL41/RPS5/RPL35/RPL35A/RPS2/RPS28/RPS15/RPSA/RPL36/RPLP2/RPL27A/RPS3A/RPS19/RPL7/RPL13A/RPS6/RPL10A/RPS17/RPS4X/RPL18A/RPS8/RPL22/RPL9/RPL4/RPLP1/RPS15A/RPL37A/UBA52/UBB/RPL38/RPS7/RPLP0/RPS14/RPS10/FAU/RPS11/RPL24/RPS12/RPL11/RPL26/RPS25/RPL31/RPS26/RPS13/RPL39/PSMC4/RPS16/RPL12/RPS18/RPL30/RPS27/SLIT1/RPS3/RPL10L/RPS24/RPL27/RPL37/RPL13/RPS20/RPL14
limma_trend_GeoDiff,Reactome,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,EUKARYOTIC_TRANSLATION_ELONGATION,EUKARYOTIC_TRANSLATION_ELONGATION,91,0.7999897180029478,2.596256751997058,6.094693081346924e-20,1.6079831912953633e-17,1.465934072723971e-17,2312,"tags=78%, list=12%, signal=69%",RPL7A/RPL29/RPL5/RPL34/RPL21/RPS9/RPL17/RPL6/RPL32/RPL15/RPL18/RPL41/RPS5/RPL35/RPL35A/RPS2/RPS28/RPS15/RPSA/RPL36/RPLP2/RPL27A/RPS3A/RPS19/RPL7/RPL13A/RPS6/EEF1B2/RPL10A/RPS17/RPS4X/RPL18A/RPS8/RPL22/RPL9/RPL4/RPLP1/RPS15A/RPL37A/UBA52/RPL38/RPS7/RPLP0/RPS14/RPS10/FAU/RPS11/RPL24/RPS12/EEF1G/EEF1D/RPL11/RPL26/RPS25/RPL31/RPS26/RPS13/RPL39/RPS16/RPL12/RPS18/RPL30/RPS27/RPS3/RPL10L/RPS24/RPL27/RPL37/RPL13/RPS20/RPL14
limma_trend_GeoDiff,Reactome,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,DEVELOPMENTAL_LINEAGE_OF_PANCREATIC_ACINAR_CELLS,DEVELOPMENTAL_LINEAGE_OF_PANCREATIC_ACINAR_CELLS,30,0.9503295755217144,2.55221540131913,2.44008907111638e-19,5.518087142253185e-17,5.030619724060988e-17,428,"tags=70%, list=2%, signal=69%",CTRL/CPB1/CELA2A/CTRC/PLA2G1B/CEL/CPA1/KLK1/PNLIP/BHLHA15/SYCN/CPA2/CELA3B/PDIA2/GP2/PNLIPRP2/AQP8/PTF1A/RNASE1/REG1A/SPINK1
limma_trend_GeoDiff,Reactome,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,NONSENSE_MEDIATED_DECAY_NMD,NONSENSE_MEDIATED_DECAY_NMD,115,0.756504324898973,2.5570231197076443,4.278917250557588e-19,8.466907509540827e-17,7.718941513834807e-17,2312,"tags=60%, list=12%, signal=53%",EIF4A3/RPL7A/RPL29/RPL5/RPL34/RPL21/RPS9/RPL17/RPL6/RPL32/RPL15/RPL18/RPL41/RPS5/RPL35/RPL35A/RPS2/RPS28/RPS15/RPSA/RPL36/RPLP2/RPL27A/RPS3A/RPS19/RPL7/RPL13A/RPS6/RPL10A/RPS17/RPS4X/RPL18A/RPS8/RPL22/RPL9/RPL4/RPLP1/RPS15A/RPL37A/UBA52/RPL38/RPS7/RPLP0/RPS14/RPS10/FAU/RPS11/RPL24/RPS12/RPL11/RPL26/RPS25/RPL31/RPS26/RPS13/RPL39/RPS16/RPL12/RPS18/RPL30/RPS27/RPS3/RPL10L/RPS24/RPL27/RPL37/RPL13/RPS20/RPL14
limma_trend_GeoDiff,Reactome,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,101,0.7760445575239235,2.5629282243879636,5.083769212908304e-19,8.941785182259827e-17,8.151868527365245e-17,2312,"tags=70%, list=12%, signal=62%",ASNS/RPL7A/RPL29/RPL5/RPL34/RPL21/RPS9/RPL17/RPL6/RPL32/RPL15/RPL18/RPL41/RPS5/RPL35/EIF2AK4/RPL35A/RPS2/RPS28/RPS15/RPSA/RPL36/RPLP2/RPL27A/RPS3A/RPS19/RPL7/RPL13A/RPS6/RPL10A/RPS17/RPS4X/RPL18A/RPS8/RPL22/RPL9/RPL4/RPLP1/RPS15A/RPL37A/UBA52/RPL38/RPS7/RPLP0/RPS14/RPS10/FAU/RPS11/RPL24/RPS12/RPL11/RPL26/RPS25/RPL31/RPS26/RPS13/RPL39/ATF4/RPS16/RPL12/RPS18/RPL30/RPS27/RPS3/RPL10L/RPS24/RPL27/RPL37/RPL13/RPS20/RPL14
limma_trend_GeoDiff,Reactome,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION,INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION,135,0.7323167074346295,2.5086279626254253,9.271227568068372e-19,1.4676353240252235e-16,1.3379845258759724e-16,2312,"tags=53%, list=12%, signal=47%",RPL7A/RPL29/RPL5/RPL34/RPL21/RPS9/RPL17/RPL6/RPL32/RPL15/RPL18/RPL41/RPS5/RPL35/RPL35A/RPS2/RPS28/RPS15/RPSA/RPL36/POLR2L/RPLP2/IPO5/RPL27A/RPS3A/RPS19/RPL7/RPL13A/RPS6/RPL10A/RPS17/RPS4X/RPL18A/RPS8/RPL22/RPL9/RPL4/RPLP1/RPS15A/RPL37A/UBA52/RPL38/RPS7/RPLP0/RPS14/RPS10/FAU/NUP210/RPS11/RPL24/RPS12/RPL11/RPL26/RPS25/RPL31/RPS26/RPS13/RPL39/RPS16/RPL12/RPS18/RPL30/NUP153/RPS27/RPS3/RPL10L/RPS24/RPL27/RPL37/RPL13/RPS20/RPL14
limma_trend_GeoDiff,Reactome,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,SELENOAMINO_ACID_METABOLISM,SELENOAMINO_ACID_METABOLISM,117,0.7439936089652067,2.5130706431291423,1.1701190604540645e-18,1.6106758835173165e-16,1.4683888927102045e-16,2505,"tags=63%, list=13%, signal=55%",CBS/RPL7A/RPL29/RPL5/RPL34/RPL21/RPS9/RPL17/RPL6/RPL32/RPL15/RPL18/RPL41/RPS5/RPL35/RPL35A/RPS2/RPS28/RPS15/RPSA/RPL36/RPLP2/INMT/RPL27A/CTH/RPS3A/RPS19/RPL7/RPL13A/RPS6/RPL10A/RPS17/RPS4X/RPL18A/RPS8/RPL22/RPL9/RPL4/RPLP1/RPS15A/RPL37A/UBA52/RPL38/RPS7/RPLP0/RPS14/RPS10/FAU/RPS11/RPL24/RPS12/RPL11/RPL26/RPS25/RPL31/RPS26/RPS13/RPL39/RPS16/RPL12/RPS18/RPL30/RPS27/RPS3/RPL10L/RPS24/RPL27/RPL37/RPL13/RPS20/RPL14/MARS1/RPS23/SARS1
limma_trend_GeoDiff,Reactome,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,CELLULAR_RESPONSE_TO_STARVATION,CELLULAR_RESPONSE_TO_STARVATION,154,0.7037500635549498,2.4570531256522803,1.2209798232601263e-18,1.6106758835173165e-16,1.4683888927102045e-16,2511,"tags=50%, list=13%, signal=44%",ASNS/RPL7A/TCIRG1/RPL29/RPL5/NPRL2/RPL34/RPL21/RPS9/RPL17/RPL6/RPL32/RPL15/RPL18/RPL41/RPS5/RPL35/EIF2AK4/RPL35A/RPS2/RPS28/RPS15/RPSA/RPL36/RPLP2/RPL27A/RRAGA/RPS3A/RPS19/RPL7/RPL13A/RPS6/RPL10A/RPS17/RPS4X/RPL18A/RPS8/RPL22/RPL9/RPL4/RPLP1/RPS15A/RPL37A/UBA52/RPL38/RPS7/RPLP0/RPS14/RPS10/FAU/RPS11/RPL24/RPS12/RPL11/RPL26/RPS25/RPL31/RPS26/RPS13/RPL39/ATF4/RPS16/RPL12/RPS18/RPL30/RPS27/RPS3/RPL10L/RPS24/RPL27/RPL37/RPL13/RPS20/RPL14/SESN2/RPS23/MLST8
limma_trend_GeoDiff,Reactome,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,INFLUENZA_INFECTION,INFLUENZA_INFECTION,157,0.6995417797015828,2.442303111155061,2.883885901339347e-18,3.5116856783232206e-16,3.201463620029348e-16,2312,"tags=47%, list=12%, signal=42%",RPL7A/RPL29/RPL5/RPL34/RPL21/RPS9/RPL17/RPL6/RPL32/RPL15/RPL18/RPL41/RPS5/RPL35/RPL35A/RPS2/RPS28/RPS15/RPSA/RPL36/POLR2L/RPLP2/IPO5/RPL27A/RPS3A/RPS19/RPL7/RPL13A/RPS6/RPL10A/RPS17/RPS4X/RPL18A/RPS8/RPL22/RPL9/RPL4/RPLP1/RPS15A/RPL37A/UBA52/SLC25A6/RPL38/RPS7/RPLP0/RPS14/RPS10/FAU/NUP210/RPS11/RPL24/RPS12/RPL11/RPL26/RPS25/RPL31/RPS26/RPS13/RPL39/RPS16/RPL12/RPS18/RPL30/NUP153/RPS27/RPS3/CANX/RPL10L/RPS24/RPL27/RPL37/RPL13/RPS20/RPL14
limma_trend_GeoDiff,Reactome,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,SIGNALING_BY_ROBO_RECEPTORS,SIGNALING_BY_ROBO_RECEPTORS,202,0.6577257404461776,2.3595893695944676,3.645510779725758e-18,4.122031117361339e-16,3.757891187221063e-16,2312,"tags=40%, list=12%, signal=36%",PAK3/EIF4A3/RPL7A/CXCR4/PSMD6/RPL29/RPL5/RPL34/RPL21/RPS9/RPL17/RPL6/RPL32/RPL15/RPL18/RPL41/RPS5/CXCL12/RPL35/RPL35A/RPS2/RPS28/RPS15/RPSA/RPL36/RPLP2/RPL27A/RPS3A/RPS19/RPL7/RPL13A/RPS6/EVL/RPL10A/RPS17/RPS4X/RPL18A/RPS8/RPL22/RPL9/RPL4/RPLP1/RPS15A/RPL37A/UBA52/CLASP2/UBB/RPL38/RPS7/RPLP0/RPS14/RPS10/FAU/RPS11/RPL24/RPS12/RPL11/RPL26/RPS25/RPL31/RPS26/ARHGAP39/RPS13/RPL39/PSMC4/RPS16/RPL12/RPS18/RPL30/RPS27/SLIT3/SLIT1/PRKACA/RPS3/RPL10L/RPS24/RPL27/RPL37/RPL13/RPS20/RPL14
limma_trend_GeoDiff,Reactome,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,RRNA_PROCESSING,RRNA_PROCESSING,208,0.6420660003983583,2.3075432456946654,2.5030458860646423e-17,2.6415477584268856e-15,2.408193620908509e-15,2312,"tags=37%, list=12%, signal=33%",MTERF3/RPL7A/RPL29/RPL5/RPL34/RPL21/RPS9/RPL17/RPL6/RPL32/RPL15/RPL18/RPL41/RPS5/TBL3/RPL35/RPL35A/RPS2/RPS28/RPS15/RPSA/RPL36/RPLP2/EXOSC3/RPL27A/RPS3A/RPS19/RPL7/RPL13A/RPS6/RPL10A/RPS17/RPS4X/RPL18A/RPS8/RPL22/RPL9/RPL4/RPLP1/RPS15A/RPL37A/UBA52/RPL38/RPS7/PNO1/RPLP0/RPS14/RPS10/FAU/RPS11/RPL24/RPS12/RPL11/RPL26/RPS25/RPL31/RPS26/RPS13/RPL39/FCF1/CSNK1D/RIOK2/RPS16/RPL12/RPS18/RPL30/RPS27/RPUSD4/RPS3/RPL10L/RPS24/RPL27/RPL37/LTV1/RPL13/RPS20/RPL14
limma_trend_GeoDiff,Reactome,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,OLFACTORY_SIGNALING_PATHWAY,OLFACTORY_SIGNALING_PATHWAY,389,-0.5197380381724851,-2.0437099269288104,1.2838232909847726e-15,1.2701826685180594e-13,1.157974823644818e-13,3560,"tags=42%, list=19%, signal=34%",OR5K1/OR11L1/OR56A5/OR6B3/OR4D9/OR1I1/ADCY3/OR11H4/OR9A4/OR14I1/OR5L2/OR14J1/OR52E4/OR10K2/OR6F1/OR11A1/OR6C74/OR5B2/OR1B1/OR2T6/OR51I2/OR1M1/OR2AJ1/OR3A2/OR4C12/OR52W1/OR4N5/OR4N4/OR7G2/OR11H7/OR4K13/OR4D6/OR6T1/OR10G6/OR2G2/OR10J4/OR1A1/OR2AG2/OR10H2/OR52N5/OR6N2/OR51E1/OR2A2/OR8J1/OR51Q1/OR1D2/OR51B5/OR2AG1/OR7G3/CNGA4/OR52A5/OR52E5/OR6X1/OR5T2/OR52D1/OR1E1/GNG13/OR4X2/OR8U3/OR10K1/OR2T10/OR2T5/OR6S1/OR7A5/OR4K1/OR1J4/OR5AN1/OR4L1/OR4K5/OR5K4/OR2T29/OR8H2/OR4C46/OR1L8/OR5D13/OR52E2/OR4K15/OR51M1/OR2T1/RTP1/OR52I2/OR52I1/OR4C45/OR52N2/OR6C6/OR13C9/OR13F1/OR10AG1/OR5M11/OR8D4/OR51A2/OR6V1/OR52K1/OR4M2/OR5D14/OR2L8/OR2W3/OR10Z1/OR4D10/OR4B1/OR2Z1/OR9I1/OR2B3/OR2Y1/OR6K3/OR1K1/OR5B21/OR8K5/OR52N4/OR5B12/OR13A1/OR4C16/OR6N1/OR13G1/OR6Y1/OR51F1/OR4D1/OR8J3/OR56B1/OR51G2/OR5K2/OR2A7/OR10AD1/OR5P3/OR5AR1/OR8D2/OR1L4/OR51A7/OR13D1/OR5J2/OR2T3/OR13H1/OR8K1/OR8U1/OR5T1/OR1L6/OR4D11/OR10G8/OR10A3/OR2A12/OR10Q1/OR2A25/OR4S2/OR52R1/OR2AE1/OR10G2/OR5K3/OR13C3/OR10R2/OR10A2/OR6B2/OR4C3/OR1N2/OR8A1/OR52K2/OR4P4/OR5B17/OR2AK2/OR2M4/OR51B6/OR51V1/OR10AC1
limma_trend_GeoDiff,Reactome,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE,RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE,101,0.734731028780017,2.4264881091390946,4.4885663533448374e-15,4.179647374908752e-13,3.8104176287528e-13,2313,"tags=45%, list=12%, signal=39%",RPL7A/PSMD6/RPL29/RPL5/RPL34/RPL21/RPL17/RPL6/RPL32/RPL15/RPL18/RPL41/RPL35/RPL35A/RPL36/RPLP2/RPL27A/RPL7/RPL13A/RPL10A/RPL18A/RPL22/RPL9/RPL4/RPLP1/RPL37A/UBA52/UBB/RPL38/RPLP0/RPL24/RPL11/RPL26/RPL31/RPL39/PSMC4/RPL12/RPL30/NEMF/RPL10L/RPL27/RPL37/RPL13/RPL14/UBE2D1
